iter	Passed	Remaining
0	62	62562
1	62	31371
2	63	20988
3	63	15790
4	63	12676
5	63	10598
6	64	9109
7	64	7996
8	64	7130
9	65	6436
10	65	5870
11	65	5398
12	65	4998
13	66	4653
14	66	4355
15	66	4093
16	66	3864
17	67	3660
18	67	3477
19	67	3319
20	68	3171
21	68	3040
22	68	2921
23	69	2811
24	69	2706
25	69	2609
26	70	2523
27	70	2443
28	70	2366
29	71	2316
30	72	2255
31	72	2193
32	72	2134
33	73	2080
34	73	2027
35	73	1976
36	74	1928
37	74	1882
38	74	1842
39	75	1802
40	75	1766
41	75	1731
42	76	1698
43	76	1664
44	76	1631
45	77	1599
46	77	1570
47	77	1543
48	78	1517
49	78	1490
50	78	1464
51	79	1441
52	79	1419
53	79	1397
54	80	1377
55	80	1356
56	80	1335
57	81	1315
58	81	1296
59	81	1277
60	81	1261
61	82	1246
62	82	1229
63	82	1212
64	83	1197
65	83	1181
66	83	1167
67	84	1155
68	84	1143
69	85	1132
70	85	1120
71	86	1109
72	86	1099
73	86	1088
74	88	1092
75	88	1080
76	89	1070
77	89	1060
78	90	1050
79	90	1044
80	91	1033
81	91	1023
82	91	1012
83	92	1004
84	92	993
85	92	984
86	92	974
87	93	967
88	93	958
89	93	950
90	94	943
91	94	935
92	95	927
93	95	918
94	95	910
95	95	903
96	96	895
97	96	888
98	96	880
99	97	873
100	97	866
101	97	858
102	97	851
103	98	844
104	98	837
105	98	830
106	98	824
107	99	818
108	99	812
109	99	805
110	99	799
111	100	793
112	100	787
113	100	782
114	100	776
115	101	770
116	101	764
117	101	759
118	101	753
119	102	749
120	102	744
121	102	739
122	102	732
123	103	728
124	103	724
125	103	719
126	104	715
127	104	709
128	104	705
129	104	701
130	105	696
131	105	692
132	105	688
133	105	684
134	106	680
135	106	676
136	106	672
137	106	667
138	107	664
139	107	660
140	107	656
141	108	652
142	108	648
143	108	645
144	108	641
145	109	637
146	109	634
147	109	630
148	109	627
149	110	623
150	110	620
151	110	617
152	110	613
153	111	610
154	111	607
155	111	604
156	112	602
157	112	599
158	112	596
159	113	594
160	113	592
161	113	589
162	114	587
163	114	584
164	114	581
165	115	579
166	115	576
167	115	574
168	116	571
169	116	569
170	117	567
171	117	565
172	117	562
173	118	560
174	118	558
175	118	556
176	119	554
177	119	553
178	120	551
179	120	548
180	120	545
181	121	543
182	121	541
183	121	539
184	122	537
185	122	536
186	122	534
187	123	532
188	123	530
189	123	528
190	124	526
191	124	524
192	125	522
193	125	521
194	125	518
195	126	517
196	126	515
197	126	513
198	127	511
199	127	509
200	127	508
201	128	506
202	128	504
203	128	503
204	129	501
205	129	500
206	130	498
207	130	496
208	130	495
209	131	493
210	131	492
211	132	490
212	132	489
213	132	487
214	132	485
215	133	483
216	133	482
217	134	480
218	134	479
219	134	478
220	135	476
221	135	475
222	135	473
223	136	472
224	136	470
225	137	469
226	137	468
227	137	466
228	138	465
229	138	464
230	139	463
231	139	461
232	139	460
233	140	459
234	140	457
235	140	456
236	141	455
237	141	454
238	142	452
239	142	451
240	142	450
241	143	448
242	143	447
243	143	445
244	144	444
245	144	443
246	144	441
247	145	440
248	145	439
249	146	438
250	146	437
251	146	435
252	147	434
253	147	433
254	147	431
255	148	430
256	148	429
257	148	428
258	149	426
259	149	425
260	149	424
261	150	423
262	150	422
263	151	421
264	151	420
265	151	418
266	152	417
267	152	416
268	152	415
269	153	414
270	153	413
271	154	412
272	154	411
273	154	409
274	154	408
275	155	407
276	155	406
277	155	405
278	156	403
279	156	402
280	156	401
281	157	400
282	157	399
283	158	398
284	158	397
285	158	395
286	158	394
287	159	393
288	159	392
289	159	391
290	160	390
291	160	388
292	160	387
293	161	386
294	161	385
295	161	384
296	162	383
297	162	382
298	162	381
299	163	380
300	163	379
301	163	378
302	164	377
303	164	376
304	164	375
305	165	374
306	165	373
307	165	372
308	166	371
309	166	370
310	166	369
311	167	368
312	167	367
313	167	366
314	168	365
315	168	364
316	168	363
317	169	362
318	169	361
319	169	360
320	169	359
321	170	358
322	170	357
323	170	356
324	171	355
325	171	354
326	171	353
327	172	352
328	172	351
329	172	350
330	173	349
331	173	348
332	173	347
333	173	346
334	174	346
335	174	345
336	174	344
337	175	343
338	175	342
339	175	341
340	176	340
341	176	339
342	176	338
343	177	337
344	177	336
345	177	335
346	177	334
347	178	333
348	178	332
349	178	331
350	178	330
351	179	329
352	179	328
353	179	327
354	179	326
355	180	325
356	180	324
357	180	323
358	180	322
359	181	321
360	181	320
361	181	319
362	181	318
363	182	318
364	182	317
365	182	316
366	182	315
367	183	314
368	183	313
369	183	312
370	183	311
371	184	310
372	184	309
373	184	309
374	184	308
375	185	307
376	185	306
377	185	305
378	185	304
379	186	303
380	186	302
381	186	301
382	186	300
383	187	300
384	187	299
385	187	298
386	187	297
387	188	296
388	188	296
389	188	295
390	189	294
391	189	293
392	189	292
393	189	292
394	190	291
395	190	290
396	190	289
397	190	288
398	191	287
399	191	287
400	191	286
401	191	285
402	192	284
403	192	283
404	192	283
405	192	282
406	193	281
407	193	280
408	193	279
409	193	279
410	194	278
411	194	277
412	194	276
413	194	275
414	195	275
415	195	274
416	195	273
417	195	272
418	196	272
419	196	271
420	196	270
421	196	269
422	197	268
423	197	268
424	197	267
425	198	267
426	199	267
427	199	266
428	199	265
429	199	264
430	200	264
431	200	263
432	200	262
433	200	262
434	201	261
435	201	260
436	201	259
437	201	259
438	202	258
439	202	257
440	202	256
441	202	256
442	203	255
443	203	254
444	203	254
445	203	253
446	204	252
447	204	251
448	204	251
449	204	250
450	205	249
451	205	249
452	205	248
453	205	247
454	206	247
455	206	246
456	206	245
457	207	245
458	207	244
459	207	243
460	207	242
461	208	242
462	208	241
463	208	240
464	208	240
465	209	239
466	209	238
467	209	238
468	209	237
469	210	236
470	210	236
471	210	235
472	210	234
473	211	234
474	211	233
475	211	232
476	211	232
477	212	231
478	212	230
479	212	230
480	212	229
481	213	228
482	213	228
483	213	227
484	213	226
485	213	226
486	214	225
487	214	225
488	214	224
489	214	223
490	215	223
491	215	222
492	215	221
493	215	221
494	216	220
495	216	219
496	216	219
497	216	218
498	217	218
499	217	217
500	217	216
501	217	216
502	218	215
503	218	214
504	218	214
505	218	213
506	219	213
507	219	212
508	219	211
509	219	211
510	220	210
511	220	209
512	220	209
513	220	208
514	220	208
515	221	207
516	221	206
517	221	206
518	221	205
519	222	205
520	222	204
521	222	203
522	222	203
523	223	202
524	223	202
525	223	201
526	223	200
527	224	200
528	224	199
529	224	199
530	224	198
531	225	197
532	225	197
533	225	196
534	225	196
535	225	195
536	226	195
537	226	194
538	226	193
539	226	193
540	227	192
541	227	192
542	227	191
543	227	191
544	228	190
545	228	189
546	228	189
547	228	188
548	229	188
549	229	187
550	229	187
551	229	186
552	230	185
553	230	185
554	230	184
555	230	184
556	230	183
557	231	183
558	231	182
559	231	182
560	231	181
561	232	180
562	232	180
563	232	179
564	232	179
565	233	178
566	233	178
567	233	177
568	233	177
569	234	176
570	234	176
571	234	175
572	234	174
573	235	174
574	235	173
575	235	173
576	235	172
577	236	172
578	236	171
579	236	171
580	236	170
581	236	170
582	237	169
583	237	169
584	237	168
585	237	168
586	238	167
587	238	167
588	238	166
589	239	166
590	239	165
591	239	165
592	239	164
593	240	164
594	240	163
595	240	163
596	240	162
597	241	162
598	241	161
599	241	160
600	241	160
601	241	159
602	242	159
603	242	158
604	242	158
605	242	157
606	243	157
607	243	156
608	243	156
609	243	155
610	244	155
611	244	154
612	244	154
613	244	154
614	245	153
615	245	153
616	245	152
617	245	152
618	246	151
619	246	151
620	246	150
621	246	150
622	247	149
623	247	149
624	247	148
625	247	148
626	248	147
627	248	147
628	248	146
629	248	146
630	249	145
631	249	145
632	249	144
633	249	144
634	250	143
635	250	143
636	250	142
637	250	142
638	251	141
639	251	141
640	251	140
641	251	140
642	252	139
643	252	139
644	252	139
645	252	138
646	253	138
647	253	137
648	253	137
649	253	136
650	254	136
651	254	135
652	254	135
653	254	134
654	255	134
655	255	133
656	255	133
657	255	132
658	255	132
659	256	131
660	256	131
661	256	131
662	256	130
663	257	130
664	257	129
665	257	129
666	257	128
667	258	128
668	258	127
669	258	127
670	258	126
671	259	126
672	259	126
673	259	125
674	260	125
675	260	124
676	260	124
677	260	123
678	260	123
679	261	122
680	261	122
