iter	Passed	Remaining
0	59	59225
1	59	29799
2	60	19989
3	60	15080
4	60	12114
5	61	10134
6	61	8720
7	61	7664
8	62	6847
9	62	6184
10	62	5649
11	63	5200
12	63	4815
13	63	4488
14	64	4203
15	64	3960
16	64	3746
17	65	3556
18	65	3381
19	65	3224
20	66	3085
21	66	2958
22	66	2838
23	67	2731
24	67	2636
25	67	2545
26	68	2460
27	68	2379
28	68	2303
29	69	2234
30	69	2169
31	69	2107
32	69	2049
33	70	1994
34	70	1943
35	70	1897
36	71	1854
37	71	1814
38	72	1781
39	72	1743
40	73	1708
41	73	1674
42	73	1640
43	74	1608
44	74	1578
45	74	1548
46	74	1519
47	75	1492
48	75	1466
49	75	1440
50	76	1416
51	76	1394
52	76	1371
53	77	1350
54	77	1330
55	77	1311
56	78	1293
57	78	1274
58	78	1256
59	79	1238
60	79	1221
61	80	1215
62	80	1199
63	81	1185
64	81	1171
65	81	1157
66	82	1144
67	82	1130
68	82	1116
69	83	1103
70	83	1090
71	83	1077
72	84	1066
73	84	1055
74	84	1044
75	85	1034
76	85	1024
77	85	1013
78	86	1003
79	86	993
80	86	983
81	87	974
82	87	963
83	87	954
84	87	945
85	88	937
86	88	929
87	88	920
88	89	913
89	89	905
90	89	897
91	90	889
92	90	881
93	90	873
94	90	866
95	91	859
96	91	852
97	91	845
98	92	838
99	92	831
100	92	825
101	92	818
102	93	812
103	93	807
104	94	801
105	94	795
106	94	790
107	95	785
108	95	780
109	95	774
110	96	768
111	96	763
112	96	758
113	96	753
114	97	747
115	97	742
116	97	736
117	97	731
118	98	726
119	98	721
120	98	717
121	99	712
122	99	708
123	99	703
124	99	699
125	100	695
126	100	690
127	100	685
128	100	681
129	101	677
130	101	673
131	101	669
132	102	665
133	102	662
134	103	660
135	103	656
136	103	652
137	104	649
138	104	646
139	104	642
140	104	639
141	105	634
142	105	631
143	105	627
144	105	624
145	106	621
146	106	619
147	106	615
148	107	612
149	107	609
150	107	606
151	108	603
152	108	600
153	108	597
154	108	594
155	109	591
156	109	588
157	109	585
158	110	582
159	110	579
160	110	576
161	111	574
162	111	571
163	111	569
164	112	566
165	112	564
166	112	561
167	112	558
168	113	556
169	113	553
170	113	551
171	113	548
172	114	546
173	114	544
174	114	541
175	115	539
176	115	536
177	115	534
178	115	531
179	116	529
180	116	526
181	116	524
182	116	521
183	117	519
184	117	517
185	117	514
186	117	512
187	118	510
188	118	508
189	118	506
190	119	504
191	119	502
192	119	500
193	119	498
194	120	496
195	120	494
196	120	492
197	120	490
198	121	488
199	121	485
200	121	483
201	121	481
202	122	479
203	122	477
204	122	475
205	122	473
206	123	471
207	123	469
208	123	468
209	123	466
210	124	465
211	124	463
212	124	461
213	125	459
